what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1496310406317
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1496310406317
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1496310406317
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1496310406317
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1496310406317
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1496310406317
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1496310406317
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1496310406317
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1496310406317
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1496310406317
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1496310406317
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1496310406317
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1496310406317
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1496310406317
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1496310406317
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1496310406317
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1496310406317
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1496310406317
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1496310406317
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1496310406318
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1496310406318
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1496310406318
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1496310406318
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1496310406318
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1496310406318
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1496310406318
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1496310406318
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1496310406318
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1496310406319
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1496310406319
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1496310406319
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1496310406319
os,sysinfo,,,"win32",1496310406322
arch,sysinfo,,,"x86_64",1496310406322
ws,sysinfo,,,"win32",1496310406322
locale,sysinfo,,,"en_SG",1496310406322
processors,sysinfo,,,"8",1496310406322
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1496310406322
java.runtime.version,sysinfo,,,"1.8.0_131-b11",1496310406322
java.specification.name,sysinfo,,,"Java Platform API Specification",1496310406322
java.specification.vendor,sysinfo,,,"Oracle Corporation",1496310406322
java.specification.version,sysinfo,,,"1.8",1496310406322
java.vendor,sysinfo,,,"Oracle Corporation",1496310406322
java.version,sysinfo,,,"1.8.0_131",1496310406322
java.vm.info,sysinfo,,,"mixed mode",1496310406322
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1496310406322
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1496310406322
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1496310406322
java.vm.specification.version,sysinfo,,,"1.8",1496310406322
java.vm.vendor,sysinfo,,,"Oracle Corporation",1496310406322
java.vm.version,sysinfo,,,"25.131-b11",1496310406322
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1496310406325
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.v20110505-0800,"org.eclipse.ltk.core.refactoring",1496310419281
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1496310425174
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1496310425259
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1496310425308
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1496310425427
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1496310425917
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1496310426066
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1496310437083
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1496310437084
started,bundle,es.ucm.gaia.colibristudio.RunButton,1.0.0,"es.ucm.gaia.colibristudio.RunButton",1496310439828
started,bundle,es.ucm.gaia.colibristudio.LibraryPool,1.0.0,"es.ucm.gaia.colibristudio.LibraryPool",1496310440757
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1496310440848
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1496310440868
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496310440883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496310444290
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1496310448179
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496310453877
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1496310456765
started,bundle,org.eclipse.core.externaltools,1.0.100.v20110506,"org.eclipse.core.externaltools",1496310456848
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1496310492692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496310500544
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1496310500554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496310510119
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1496310623669
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1496310623672
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1496310623674
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1496310623675
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1496310623675
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1496310623677
